,DEPTH,CEMENT_FLAG,GR,GR_SHAPE,NEUT,RESD,TVD,V_mud,DTC,BS,CALI,DENS,Zone,Thickness,Lithofacies,Facies_code
15095,2677.0584,0,111.8476,2,0.1641,9.5076,2637.2041,0.7618,74.9612,8.5,9.3528,2.5792,UN,6.0937,4,5
15096,2677.2108,0,108.6108,2,0.1632,9.5865,2637.3565,0.7209,74.52,8.5,9.3449,2.5784,UN,6.0937,4,5
15097,2677.3632,0,105.3741,2,0.1623,9.6654,2637.5088,0.6801,74.0788,8.5,9.337,2.5777,UN,6.0937,4,5
15098,2677.5156,0,102.7969,2,0.1617,9.7382,2637.6612,0.6476,73.7114,8.5,9.3307,2.5769,UN,6.0937,4,5
15099,2677.668,0,106.0038,2,0.1644,9.7571,2637.8135,0.688,73.9902,8.5,9.3386,2.5754,UN,6.0937,4,5
15100,2677.8204,0,109.2106,2,0.1671,9.7761,2637.9658,0.7285,74.269,8.5,9.3465,2.5739,UN,6.0937,4,5
15101,2677.9728,0,112.4174,2,0.1698,9.795,2638.1182,0.769,74.5478,8.5,9.3543,2.5725,UN,6.0937,4,5
15102,2678.1252,0,113.543,2,0.1715,9.6967,2638.2705,0.7842,75.1259,8.5,9.3429,2.5716,UN,6.0937,4,5
15103,2678.2776,0,114.2164,2,0.1728,9.5728,2638.4229,0.7939,75.769,8.5,9.3273,2.5708,UN,6.0937,4,5
15104,2678.43,0,114.8898,2,0.1742,9.449,2638.5752,0.8036,76.4121,8.5,9.3117,2.57,UN,6.0937,4,5
15105,2678.5824,0,114.8519,2,0.1726,9.4133,2638.7276,0.8039,76.6093,8.5,9.2995,2.5699,UN,6.0937,4,5
15106,2678.7348,0,114.2099,2,0.1686,9.4526,2638.8799,0.7964,76.4279,8.5,9.2902,2.5703,UN,6.0937,4,5
15107,2678.8872,0,113.5678,2,0.1645,9.4919,2639.0323,0.7888,76.2465,8.5,9.281,2.5708,UN,6.0937,4,5
15108,2679.0396,0,112.1933,2,0.1612,9.5236,2639.1846,0.7716,76.0997,8.5,9.2756,2.5721,UN,6.0937,4,5
15109,2679.192,0,108.7327,2,0.1601,9.5336,2639.3369,0.7269,76.0517,8.5,9.2815,2.5758,UN,6.0937,4,5
15110,2679.3444,0,105.2721,2,0.1589,9.5435,2639.4893,0.6821,76.0036,8.5,9.2873,2.5795,UN,6.0937,4,5
15111,2679.4968,0,101.8115,2,0.1578,9.5535,2639.6416,0.6374,75.9556,8.5,9.2931,2.5832,UN,6.0937,4,5
15112,2679.6492,0,100.1476,2,0.1589,9.5251,2639.794,0.6153,75.8965,8.5,9.3063,2.6016,UN,7.6171,3,3
15113,2679.8016,-999,98.5223,2,0.16,9.4959,2639.9463,0.5937,75.8372,8.5,9.3197,2.6204,UN,7.6171,3,2
15114,2679.954,-999,96.897,2,0.1612,9.4667,2640.0987,0.572,75.7778,8.5,9.3331,2.6391,UN,7.6171,3,2
15115,2680.1064,-999,95.2262,2,0.1631,9.6698,2640.251,0.5506,74.5354,8.5,9.3334,2.6371,UN,7.6171,3,2
15116,2680.2588,-999,93.5359,2,0.1653,9.9735,2640.4033,0.5293,72.7816,8.5,9.3281,2.6262,UN,7.6171,3,2
15117,2680.4112,-999,91.8455,2,0.1676,10.2771,2640.5557,0.508,71.0277,8.5,9.3227,2.6152,UN,7.6171,3,2
15118,2680.5636,-999,91.7558,2,0.1685,10.376,2640.708,0.5068,70.2886,8.5,9.323,2.6055,UN,7.6171,3,2
15119,2680.716,-999,93.9009,2,0.1676,10.189,2640.8604,0.5338,70.9661,8.5,9.3311,2.5973,UN,7.6171,3,2
15120,2680.8684,-999,96.046,2,0.1667,10.0021,2641.0127,0.5607,71.6437,8.5,9.3392,2.5892,UN,7.6171,3,2
